Student_ID,Age,Gender,School_Type,Study_Hours_Per_Week,Attendance_Rate,Previous_Grade,Parental_Education,Family_Income,Extracurricular_Activities,Absences,Has_Tutor,Sleep_Hours,Internet_Access,Final_Grade
1000,18,Female,Public,17.7,96.0,59.4,Bachelor,Low,4,11,0,6.2,1,82.4
1001,19,Female,Private,9.6,77.8,84.7,Bachelor,Low,5,4,0,4.8,1,77.9
1002,16,Female,Public,15.6,87.2,70.1,Master,Low,2,16,1,6.1,1,83.5
1003,18,Female,Public,14.9,93.2,71.2,Bachelor,Low,1,7,0,7.3,1,87.1
1004,18,Male,Public,16.6,80.8,67.5,High School,Medium,5,9,1,6.6,1,88.7
1005,19,Male,Private,15.6,83.4,69.3,High School,Low,2,9,0,7.9,1,88.3
1006,16,Female,Public,16.9,96.7,91.8,Master,Medium,3,9,1,7.4,1,91.7
1007,16,Male,Public,13.4,70.5,94.9,Master,Medium,5,6,1,5.5,1,96.9
1008,18,Female,Public,15.3,81.8,96.5,High School,Low,5,12,1,6.5,1,93.4
1009,17,Female,Private,8.9,92.3,88.1,Bachelor,Medium,4,5,0,6.0,0,65.7
1010,18,Male,Private,13.4,84.4,80.6,High School,Medium,2,15,0,7.4,1,76.7
1011,18,Female,Private,22.0,60.8,57.8,PhD,Low,2,11,0,7.5,1,73.2
1012,18,Male,Public,16.6,88.7,72.7,High School,Medium,0,7,0,6.3,1,80.0
1013,18,Male,Public,14.9,96.4,100.0,High School,Low,2,6,0,5.0,1,84.8
1014,19,Female,Public,24.5,80.8,69.8,High School,Low,4,5,0,10.4,1,89.3
1015,16,Female,Private,8.2,94.8,93.2,Master,Low,1,8,0,7.4,1,69.9
1016,19,Male,Public,9.5,74.9,75.7,Master,High,1,9,0,7.4,1,74.0
1017,19,Male,Public,23.6,66.9,42.9,Bachelor,Medium,1,10,0,4.8,1,86.8
1018,19,Female,Private,15.2,93.3,82.7,High School,Medium,4,14,1,7.9,0,96.4
1019,18,Female,Public,13.8,95.2,90.2,Bachelor,High,1,12,1,8.3,1,92.6
1020,17,Female,Public,9.0,88.6,74.4,High School,Low,5,4,0,7.4,1,67.3
1021,16,Male,Public,17.2,99.1,89.8,High School,High,5,5,0,7.2,0,85.7
1022,17,Male,Public,17.7,90.7,55.0,Master,Medium,1,6,0,7.2,1,78.9
1023,19,Male,Public,9.5,79.2,58.4,Master,Medium,3,9,1,5.9,1,68.8
1024,19,Female,Public,14.3,94.9,77.5,PhD,Medium,3,7,0,6.2,1,88.1
1025,17,Male,Public,13.3,95.8,80.7,Bachelor,Medium,0,8,0,6.7,1,82.0
1026,17,Male,Public,16.3,93.7,91.3,High School,High,5,9,0,8.3,1,100.0
1027,17,Female,Public,9.4,88.2,82.7,Master,High,0,3,0,7.3,1,69.1
1028,19,Male,Public,21.3,84.8,60.7,High School,Low,2,14,0,6.1,1,76.4
1029,19,Female,Public,19.6,89.6,77.6,High School,Low,2,9,0,6.2,0,94.0
1030,16,Female,Public,13.2,83.4,82.2,High School,Low,5,8,0,4.4,1,74.2
